"No.","Time","Source","Destination","Protocol","Length","Info"
"4204","36.259014","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4205","36.259907","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4206","36.259907","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4207","36.259907","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4208","36.260260","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4209","36.260664","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4210","36.261559","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4211","36.261559","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4212","36.262481","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4213","36.262481","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4214","36.262481","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4215","36.262655","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4216","36.263057","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4217","36.263057","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4218","36.263685","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4219","36.264328","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4220","36.264661","192.168.1.104","212.156.184.18","UDP","82","58960  >  443 Len=40"
"4221","36.264801","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4222","36.265559","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4223","36.266426","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4224","36.266772","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4225","36.266972","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4226","36.267747","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4227","36.268257","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4228","36.269583","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4229","36.269747","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4230","36.270131","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4231","36.270953","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4232","36.270953","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4233","36.271940","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4234","36.271940","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4235","36.272118","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4236","36.272497","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4237","36.272497","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4238","36.273190","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4239","36.273190","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4240","36.274083","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4241","36.274083","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4242","36.274207","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4243","36.274505","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4244","36.275433","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4245","36.275433","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4246","36.276035","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4247","36.276218","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"4248","36.276739","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4249","36.277551","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4250","36.278217","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4251","36.278217","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4252","36.278785","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4253","36.278865","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"4254","36.279765","212.156.184.18","192.168.1.104","UDP","1253","443  >  58960 Len=1211"
"4255","36.284416","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4256","36.285550","192.168.1.104","212.156.184.18","UDP","1124","58960  >  443 Len=1082"
"4257","36.293450","212.156.184.18","192.168.1.104","UDP","75","443  >  58960 Len=33"
"4258","36.295870","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4259","36.422111","172.217.20.78","192.168.1.104","QUIC","120","Protected Payload (KP0)"
"4260","36.452212","192.168.1.104","172.217.20.78","QUIC","74","Protected Payload (KP0), DCID=e598a86c3d63e3f2"
"4261","36.640119","192.168.1.104","172.217.20.78","QUIC","71","Protected Payload (KP0), DCID=e598a86c3d63e3f2"
"4262","36.694018","172.217.20.78","192.168.1.104","QUIC","66","Protected Payload (KP0)"
"4263","36.698457","192.168.1.104","142.251.140.14","UDP","1285","53603  >  443 Len=1243"
"4264","36.698526","192.168.1.104","142.251.140.14","UDP","1292","53603  >  443 Len=1250"
"4265","36.698540","192.168.1.104","142.251.140.14","UDP","1292","53603  >  443 Len=1250"
