"No.","Time","Source","Destination","Protocol","Length","Info"
"4855","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4856","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4857","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4858","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4859","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4860","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4861","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4862","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4863","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4864","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4865","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4866","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4867","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4868","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4869","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4870","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4871","12.289240","192.168.1.105","212.156.184.13","QUIC","74","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4872","12.289340","192.168.1.105","212.156.184.13","QUIC","74","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4873","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4874","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4875","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4876","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4877","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4878","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4879","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4880","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4881","12.295126","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4882","12.295333","192.168.1.105","212.156.184.13","QUIC","75","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4883","12.301529","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4884","12.301722","192.168.1.105","212.156.184.13","QUIC","75","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4885","12.330063","192.168.1.105","162.159.136.234","TCP","54","53929  >  443 [ACK] Seq=55 Ack=5680 Win=255 Len=0"
"4886","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4887","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4888","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4889","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4890","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4891","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4892","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4893","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4894","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4895","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4896","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4897","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4898","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4899","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4900","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4901","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4902","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4903","12.335419","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4904","12.335793","192.168.1.105","212.156.184.13","QUIC","75","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4905","12.339924","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4906","12.339924","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4907","12.339924","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4908","12.339924","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4909","12.339924","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4910","12.340157","192.168.1.105","212.156.184.13","QUIC","80","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4911","12.345223","192.168.1.105","212.156.184.13","QUIC","76","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4912","12.345458","TpLinkTechno_0d:c8:25","Broadcast","ARP","42","Who has 192.168.1.100? Tell 192.168.1.1"
"4913","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4914","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4915","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4916","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4917","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4918","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4919","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4920","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4921","12.377841","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4922","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4923","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4924","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4925","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4926","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4927","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4928","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4929","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4930","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4931","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4932","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4933","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4934","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4935","12.386608","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4936","12.386934","192.168.1.105","212.156.184.13","QUIC","75","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4937","12.387072","192.168.1.105","212.156.184.13","QUIC","75","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
